301,7,4,8,4,4,5,9,2,4,6
302,3,4,7,3,1,3,1,6,4,5
303,4,8,7,2,4,3,1,7,9,3
304,4,8,3,9,5,1,3,3,2,7
305,3,4,5,9,8,3,6,5,8,5
306,2,3,9,3,2,9,5,2,7,7
307,3,5,8,9,4,3,5,3,7,8
308,4,4,7,9,8,9,5,6,9,9
309,4,3,7,9,8,3,5,3,9,3
310,8,4,7,5,5,9,5,5,4,3
311,8,8,8,9,4,7,3,5,8,3
312,4,9,7,8,5,1,8,3,9,6
313,3,8,7,9,2,4,3,3,5,3
314,4,8,7,1,4,4,5,6,1,9
315,2,5,9,7,2,2,8,3,4,7
316,3,2,7,3,5,3,5,7,2,4
317,7,4,8,9,4,9,1,3,9,3
318,4,2,9,4,9,9,1,6,4,3
319,3,9,8,1,2,1,8,3,9,8
320,9,2,6,2,2,7,9,1,4,3
321,4,8,5,3,4,2,3,7,2,8
322,3,2,3,8,5,4,5,3,9,2
323,4,8,6,7,4,1,3,3,9,3
324,9,8,7,1,6,3,5,3,9,3
325,4,4,7,1,1,1,3,7,1,3
326,6,3,8,1,2,9,3,5,9,3
327,2,1,7,8,3,1,3,6,4,7
328,4,8,6,3,4,3,2,6,4,9
329,4,4,6,9,6,7,4,3,7,3
330,2,4,2,3,6,9,2,6,7,9
331,4,5,7,1,5,1,5,6,4,2
332,1,5,8,3,1,4,2,3,4,9
333,1,5,2,3,4,9,3,7,1,8
334,7,3,8,2,9,1,5,3,8,7
335,8,3,9,1,9,1,5,5,8,7
336,8,4,7,8,4,1,5,7,9,4
337,4,5,9,7,6,5,3,3,5,3
338,4,8,7,1,4,3,3,3,2,5
339,2,2,7,3,9,4,5,6,1,3
340,1,5,7,5,1,1,5,2,1,3
341,1,8,7,9,7,4,3,7,4,3
342,4,8,7,3,4,9,2,3,9,7
343,4,2,2,3,4,3,4,6,8,1
344,4,4,7,8,2,1,4,3,9,3
345,4,8,7,6,3,4,3,7,4,1
346,4,8,5,9,4,3,5,5,4,5
347,2,5,9,1,1,2,1,3,2,3
